ProteinID,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour,ProteinsName_Subcell,Entry Name,Protein names,Gene Names,GeneID,Ensembl,Gene Ontology (molecular function),Gene Ontology (biological process),Gene Ontology (cellular component)
Q14642,S4,-0.818439656,-1.313396662,0.367314337,0.926124576,0.26237826,tomato2,INPP5A,I5P1_HUMAN,"Inositol polyphosphate-5-phosphatase A (EC 3.1.3.56) (43 kDa inositol polyphosphate 5-phosphatase) (Type I inositol 1,4,5-trisphosphate 5-phosphatase) (5PTase)",INPP5A 5PTASE,3632;,ENST00000368594.8; ENSP00000357583.3; ENSG00000068383.19.;,"inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity [GO:0052659]; inositol-1,4,5-trisphosphate 5-phosphatase activity [GO:0052658]; inositol-polyphosphate 5-phosphatase activity [GO:0004445]; PH domain binding [GO:0042731]",inositol phosphate metabolic process [GO:0043647]; negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway [GO:1900737]; phosphatidylinositol dephosphorylation [GO:0046856],dendrite [GO:0030425]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9BT40,S1,-1.425719406,-1.439763793,0.107363394,0.57902149,0.985700446,gold,INPP5K,INP5K_HUMAN,"Inositol polyphosphate 5-phosphatase K (EC 3.1.3.56) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86) (Phosphatidylinositol-4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Skeletal muscle and kidney-enriched inositol phosphatase)",INPP5K PPS SKIP,51763;,"ENST00000320345.10; ENSP00000318476.6; ENSG00000132376.20. [Q9BT40-2];""ENST00000406424.8; ENSP00000385177.4; ENSG00000132376.20. [Q9BT40-2]"";""ENST00000421807.7; ENSP00000413937.2; ENSG00000132376.20. [Q9BT40-1]"";","inositol bisphosphate phosphatase activity [GO:0016312]; inositol trisphosphate phosphatase activity [GO:0046030]; inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity [GO:0052659]; inositol-1,4,5-trisphosphate 5-phosphatase activity [GO:0052658]; inositol-polyphosphate 5-phosphatase activity [GO:0004445]; lipid phosphatase activity [GO:0042577]; phosphatidylinositol phosphate 5-phosphatase activity [GO:0034595]; phosphatidylinositol trisphosphate phosphatase activity [GO:0034594]; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity [GO:0034485]; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]; vasopressin receptor activity [GO:0005000]",actin cytoskeleton organization [GO:0030036]; cellular response to cAMP [GO:0071320]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to hormone stimulus [GO:0032870]; cellular response to insulin stimulus [GO:0032869]; cellular response to tumor necrosis factor [GO:0071356]; dephosphorylation [GO:0016311]; G protein-coupled receptor signaling pathway [GO:0007186]; glucose homeostasis [GO:0042593]; in utero embryonic development [GO:0001701]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of dephosphorylation [GO:0035305]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of glucose transmembrane transport [GO:0010829]; negative regulation of glycogen (starch) synthase activity [GO:2000466]; negative regulation of glycogen biosynthetic process [GO:0045719]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein targeting to membrane [GO:0090315]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; negative regulation of stress fiber assembly [GO:0051497]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol dephosphorylation [GO:0046856]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of renal water transport [GO:2001153]; positive regulation of urine volume [GO:0035810]; protein localization to plasma membrane [GO:0072659]; regulation of glycogen biosynthetic process [GO:0005979]; ruffle assembly [GO:0097178],cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]; trans-Golgi network [GO:0005802]
O15357,C3,1.547181904,0.218731215,-0.419330034,-0.405066575,-0.587701864,cyan,INPPL1,SHIP2_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)",INPPL1 SHIP2,3636;,"ENST00000298229.7; ENSP00000298229.2; ENSG00000165458.15. [O15357-1];""ENST00000538751.5; ENSP00000444619.1; ENSG00000165458.15. [O15357-2]"";","actin binding [GO:0003779]; inositol-polyphosphate 5-phosphatase activity [GO:0004445]; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity [GO:0034485]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]",actin filament organization [GO:0007015]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; endochondral ossification [GO:0001958]; endocytosis [GO:0006897]; ERK1 and ERK2 cascade [GO:0070371]; establishment of mitotic spindle orientation [GO:0000132]; gene expression [GO:0010467]; glucose metabolic process [GO:0006006]; immune system process [GO:0002376]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol dephosphorylation [GO:0046856]; post-embryonic development [GO:0009791]; regulation of actin filament organization [GO:0110053]; regulation of immune response [GO:0050776]; regulation of protein localization [GO:0032880]; response to insulin [GO:0032868]; ruffle assembly [GO:0097178],basal plasma membrane [GO:0009925]; cytosol [GO:0005829]; filopodium [GO:0030175]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; spindle pole [GO:0000922]
Q9Y5U4,S2,-2.369097367,-2.219725281,0.229894955,1.085658849,0.610518781,orange,INSIG2,INSI2_HUMAN,Insulin-induced gene 2 protein (INSIG-2),INSIG2,51141;,ENST00000245787.9; ENSP00000245787.4; ENSG00000125629.16.;,oxysterol binding [GO:0008142]; protein sequestering activity [GO:0140311],cellular response to insulin stimulus [GO:0032869]; cholesterol biosynthetic process [GO:0006695]; cranial suture morphogenesis [GO:0060363]; inner ear morphogenesis [GO:0042472]; middle ear morphogenesis [GO:0042474]; negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of steroid biosynthetic process [GO:0010894]; roof of mouth development [GO:0060021]; SREBP signaling pathway [GO:0032933]; SREBP-SCAP complex retention in endoplasmic reticulum [GO:0036316]; triglyceride metabolic process [GO:0006641],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; SREBP-SCAP-Insig complex [GO:0032937]
P06213,S4,-1.030256339,-1.327460227,0.462345924,0.901192484,0.294234573,tomato2,INSR,INSR_HUMAN,Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta],INSR,3643;,"ENST00000302850.10; ENSP00000303830.4; ENSG00000171105.14. [P06213-1];""ENST00000341500.9; ENSP00000342838.4; ENSG00000171105.14. [P06213-2]"";",amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; cargo receptor activity [GO:0038024]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; insulin binding [GO:0043559]; insulin receptor activity [GO:0005009]; insulin receptor substrate binding [GO:0043560]; insulin-like growth factor I binding [GO:0031994]; insulin-like growth factor II binding [GO:0031995]; insulin-like growth factor receptor binding [GO:0005159]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein domain specific binding [GO:0019904]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; PTB domain binding [GO:0051425],activation of protein kinase activity [GO:0032147]; activation of protein kinase B activity [GO:0032148]; adrenal gland development [GO:0030325]; amyloid-beta clearance [GO:0097242]; cellular response to growth factor stimulus [GO:0071363]; cellular response to insulin stimulus [GO:0032869]; dendritic spine maintenance [GO:0097062]; epidermis development [GO:0008544]; exocrine pancreas development [GO:0031017]; G protein-coupled receptor signaling pathway [GO:0007186]; glucose homeostasis [GO:0042593]; heart morphogenesis [GO:0003007]; insulin receptor signaling pathway [GO:0008286]; learning [GO:0007612]; male gonad development [GO:0008584]; male sex determination [GO:0030238]; memory [GO:0007613]; neuron projection maintenance [GO:1990535]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of developmental growth [GO:0048639]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of glucose import [GO:0046326]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of glycolytic process [GO:0045821]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of meiotic cell cycle [GO:0051446]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein-containing complex disassembly [GO:0043243]; positive regulation of receptor internalization [GO:0002092]; positive regulation of respiratory burst [GO:0060267]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; receptor internalization [GO:0031623]; receptor-mediated endocytosis [GO:0006898]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; regulation of female gonad development [GO:2000194]; symbiont entry into host cell [GO:0046718]; transport across blood-brain barrier [GO:0150104],axon [GO:0030424]; caveola [GO:0005901]; dendrite membrane [GO:0032590]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; insulin receptor complex [GO:0005899]; late endosome [GO:0005770]; lysosome [GO:0005764]; membrane [GO:0016020]; neuronal cell body membrane [GO:0032809]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
Q68E01,N4,-1.018357569,0.625715917,0.667731705,-0.397722407,-0.280709761,grey30,INTS3,INT3_HUMAN,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A),INTS3 C1orf193 C1orf60,65123;,"ENST00000318967.7; ENSP00000318641.2; ENSG00000143624.14. [Q68E01-2];""ENST00000435409.6; ENSP00000404290.2; ENSG00000143624.14. [Q68E01-2]"";""ENST00000512605.4; ENSP00000425437.1; ENSG00000143624.14. [Q68E01-3]"";""ENST00000571768.5; ENSP00000458631.1; ENSG00000262826.5. [Q68E01-2]"";""ENST00000576030.5; ENSP00000460221.1; ENSG00000262826.5. [Q68E01-2]"";""ENST00000576422.4; ENSP00000459907.1; ENSG00000262826.5. [Q68E01-3]"";",0,DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; mitotic G2/M transition checkpoint [GO:0044818]; regulation of transcription elongation by RNA polymerase II [GO:0034243]; response to ionizing radiation [GO:0010212]; snRNA processing [GO:0016180],cytoplasm [GO:0005737]; integrator complex [GO:0032039]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; SOSS complex [GO:0070876]
Q5JU85,C2,1.271367128,0.168568511,-0.211422142,0.03682735,-0.350561666,aquamarine,IQSEC2,IQEC2_HUMAN,IQ motif and SEC7 domain-containing protein 2,IQSEC2 KIAA0522,23096;,"ENST00000375365.2; ENSP00000364514.2; ENSG00000124313.19. [Q5JU85-3];""ENST00000639161.2; ENSP00000491796.1; ENSG00000124313.19. [Q5JU85-4]"";""ENST00000642864.1; ENSP00000495726.1; ENSG00000124313.19. [Q5JU85-2]"";""ENST00000674510.1; ENSP00000502054.1; ENSG00000124313.19. [Q5JU85-2]"";",guanyl-nucleotide exchange factor activity [GO:0005085],"actin cytoskeleton organization [GO:0030036]; modulation of chemical synaptic transmission [GO:0050804]; positive regulation of long-term synaptic depression [GO:1900454]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; regulation of ARF protein signal transduction [GO:0032012]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]",cytoplasm [GO:0005737]; Schaffer collateral - CA1 synapse [GO:0098685]
Q9NWZ3,C3,1.86749965,-0.109173912,-0.557089085,-0.409662009,-0.818861121,cyan,IRAK4,IRAK4_HUMAN,Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64),IRAK4,51135;,"ENST00000440781.6; ENSP00000408734.2; ENSG00000198001.16. [Q9NWZ3-2];""ENST00000551736.5; ENSP00000446490.1; ENSG00000198001.16. [Q9NWZ3-1]"";""ENST00000613694.5; ENSP00000479889.3; ENSG00000198001.16. [Q9NWZ3-1]"";",ATP binding [GO:0005524]; interleukin-1 receptor binding [GO:0005149]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],cellular response to lipopolysaccharide [GO:0071222]; cytokine-mediated signaling pathway [GO:0019221]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-33-mediated signaling pathway [GO:0038172]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; neutrophil mediated immunity [GO:0002446]; neutrophil migration [GO:1990266]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of smooth muscle cell proliferation [GO:0048661]; Toll signaling pathway [GO:0008063]; toll-like receptor 4 signaling pathway [GO:0034142]; toll-like receptor 9 signaling pathway [GO:0034162]; toll-like receptor signaling pathway [GO:0002224],cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P48200,C1,1.645124492,0.271976083,-0.796616012,-0.670904338,-0.407848696,lightblue,IREB2,IREB2_HUMAN,Iron-responsive element-binding protein 2 (IRE-BP 2) (Iron regulatory protein 2) (IRP2),IREB2,3658;,"ENST00000258886.13; ENSP00000258886.8; ENSG00000136381.13. [P48200-1];""ENST00000560440.5; ENSP00000452938.1; ENSG00000136381.13. [P48200-2]"";","4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; iron-responsive element binding [GO:0030350]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]",citrate metabolic process [GO:0006101]; erythrocyte homeostasis [GO:0034101]; establishment of localization in cell [GO:0051649]; intestinal absorption [GO:0050892]; intracellular iron ion homeostasis [GO:0006879]; mRNA stabilization [GO:0048255]; multicellular organismal-level iron ion homeostasis [GO:0060586]; osteoclast differentiation [GO:0030316]; post-embryonic development [GO:0009791]; protoporphyrinogen IX biosynthetic process [GO:0006782]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099],cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q8IU81,N4,-0.679221584,1.057977827,-0.015271373,-0.148207718,-0.511459244,grey30,IRF2BP1,I2BP1_HUMAN,Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1) (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase IRF2BP1),IRF2BP1,26145;,ENST00000302165.5; ENSP00000307265.3; ENSG00000170604.5.;,metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]; ubiquitin protein ligase activity [GO:0061630],negative regulation of transcription by RNA polymerase II [GO:0000122]; protein polyubiquitination [GO:0000209]; regulation of transcription by RNA polymerase II [GO:0006357],nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H1B7,N4,-1.046873505,1.328746476,-0.193868595,-0.464428605,-0.898510105,grey30,IRF2BPL,I2BPL_HUMAN,Probable E3 ubiquitin-protein ligase IRF2BPL (EC 2.3.2.27) (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like),IRF2BPL C14orf4 EAP1 KIAA1865 My039,64207;,ENST00000238647.5; ENSP00000238647.3; ENSG00000119669.5.;,metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630],development of secondary female sexual characteristics [GO:0046543]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567],extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q14653,C4,2.099359362,0.114864961,-0.79679163,-0.832444688,-1.089044935,deepskyblue2,IRF3,IRF3_HUMAN,Interferon regulatory factor 3 (IRF-3),IRF3,3661;,"ENST00000309877.11; ENSP00000310127.6; ENSG00000126456.16. [Q14653-1];""ENST00000377139.8; ENSP00000366344.3; ENSG00000126456.16. [Q14653-1]"";""ENST00000442265.2; ENSP00000400378.2; ENSG00000126456.16. [Q14653-5]"";""ENST00000596765.5; ENSP00000470512.1; ENSG00000126456.16. [Q14653-3]"";""ENST00000597198.5; ENSP00000469113.1; ENSG00000126456.16. [Q14653-1]"";""ENST00000599223.5; ENSP00000471358.1; ENSG00000126456.16. [Q14653-2]"";""ENST00000600022.5; ENSP00000472700.1; ENSG00000126456.16. [Q14653-3]"";""ENST00000601291.5; ENSP00000471896.1; ENSG00000126456.16. [Q14653-4]"";","DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; promoter-specific chromatin binding [GO:1990841]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]",antiviral innate immune response [GO:0140374]; apoptotic process [GO:0006915]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to virus [GO:0098586]; cGAS/STING signaling pathway [GO:0140896]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to virus [GO:0051607]; DNA damage response [GO:0006974]; immune system process [GO:0002376]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macrophage apoptotic process [GO:0071888]; MDA-5 signaling pathway [GO:0039530]; mRNA transcription [GO:0009299]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; programmed necrotic cell death [GO:0097300]; regulation of apoptotic process [GO:0042981]; regulation of inflammatory response [GO:0050727]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction involved in regulation of gene expression [GO:0023019]; toll-like receptor 4 signaling pathway [GO:0034142]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; type I interferon-mediated signaling pathway [GO:0060337],chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q00978,C5,1.021251114,0.927918382,-0.444567225,-0.598297574,-0.930190254,turquoise3,IRF9,IRF9_HUMAN,Interferon regulatory factor 9 (IRF-9) (IFN-alpha-responsive transcription factor subunit) (ISGF3 p48 subunit) (Interferon-stimulated gene factor 3 gamma) (ISGF-3 gamma) (Transcriptional regulator ISGF3 subunit gamma),IRF9 ISGF3G,10379;,"ENST00000396864.8; ENSP00000380073.3; ENSG00000213928.10.;""ENST00000646071.2; ENSP00000494792.1; ENSG00000285048.2."";""ENST00000699071.1; ENSP00000514112.1; ENSG00000213928.10."";","DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",cell surface receptor signaling pathway [GO:0007166]; defense response to virus [GO:0051607]; immune system process [GO:0002376]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366],chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; ISGF3 complex [GO:0070721]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P35568,C3,1.749512986,0.302355492,-0.556425679,-0.590975385,-0.701236356,cyan,IRS1,IRS1_HUMAN,Insulin receptor substrate 1 (IRS-1),IRS1,3667;,ENST00000305123.6; ENSP00000304895.4; ENSG00000169047.6.;,insulin receptor binding [GO:0005158]; insulin-like growth factor receptor binding [GO:0005159]; phosphatidylinositol 3-kinase binding [GO:0043548]; phosphotyrosine residue binding [GO:0001784]; protein kinase C binding [GO:0005080]; SH2 domain binding [GO:0042169]; signaling adaptor activity [GO:0035591]; signaling receptor complex adaptor activity [GO:0030159]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068],cellular response to fatty acid [GO:0071398]; cellular response to insulin stimulus [GO:0032869]; cytokine-mediated signaling pathway [GO:0019221]; glucose homeostasis [GO:0042593]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of insulin secretion [GO:0046676]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fatty acid beta-oxidation [GO:0032000]; positive regulation of glucose import [GO:0046326]; positive regulation of glucose metabolic process [GO:0010907]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; response to insulin [GO:0032868]; signal transduction [GO:0007165],caveola [GO:0005901]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; insulin receptor complex [GO:0005899]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9Y4H2,C1,1.590519371,0.156613846,-0.369139426,-0.281919139,-0.444040127,lightblue,IRS2,IRS2_HUMAN,Insulin receptor substrate 2 (IRS-2),IRS2,8660;,ENST00000375856.5; ENSP00000365016.3; ENSG00000185950.9.;,14-3-3 protein binding [GO:0071889]; insulin receptor binding [GO:0005158]; phosphatidylinositol 3-kinase activator activity [GO:0141038]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein domain specific binding [GO:0019904]; protein phosphatase binding [GO:0019903]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068],brain development [GO:0007420]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; cellular response to peptide [GO:1901653]; epithelial cell migration [GO:0010631]; glucose metabolic process [GO:0006006]; insulin receptor signaling pathway [GO:0008286]; lipid homeostasis [GO:0055088]; mammary gland development [GO:0030879]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of kinase activity [GO:0033673]; negative regulation of long-chain fatty acid import across plasma membrane [GO:0010748]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of fatty acid beta-oxidation [GO:0032000]; positive regulation of glucose import [GO:0046326]; positive regulation of glucose metabolic process [GO:0010907]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of insulin secretion [GO:0032024]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of type B pancreatic cell proliferation [GO:1904692]; regulation of lipid metabolic process [GO:0019216]; response to glucose [GO:0009749]; signal transduction [GO:0007165]; type B pancreatic cell proliferation [GO:0044342],cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q9H9L3,N3,-1.383391391,-1.234557305,0.82081367,-0.043768696,0.847874661,grey50,ISG20L2,I20L2_HUMAN,Interferon-stimulated 20 kDa exonuclease-like 2 (EC 3.1.-.-),ISG20L2 HSD-38 HSD38,81875;,"ENST00000313146.10; ENSP00000323424.6; ENSG00000143319.17.;""ENST00000368219.2; ENSP00000357202.2; ENSG00000143319.17."";",3'-5'-RNA exonuclease activity [GO:0000175]; exonuclease activity [GO:0004527]; RNA binding [GO:0003723],ribosome biogenesis [GO:0042254],nucleolus [GO:0005730]; nucleus [GO:0005634]
P53990,C3,1.515764622,-0.254643033,-0.558927526,-0.265184421,-0.475949661,cyan,IST1,IST1_HUMAN,IST1 homolog (hIST1) (Charged multivesicular body protein 8) (CHMP8) (Putative MAPK-activating protein PM28),IST1 KIAA0174,9798;,"ENST00000329908.12; ENSP00000330408.8; ENSG00000182149.21. [P53990-3];""ENST00000378798.9; ENSP00000368075.5; ENSG00000182149.21. [P53990-2]"";""ENST00000378799.11; ENSP00000368076.6; ENSG00000182149.21. [P53990-4]"";""ENST00000535424.5; ENSP00000438399.1; ENSG00000182149.21. [P53990-5]"";""ENST00000538850.5; ENSP00000463711.1; ENSG00000182149.21. [P53990-6]"";""ENST00000541571.6; ENSP00000455860.1; ENSG00000182149.21. [P53990-4]"";""ENST00000544564.5; ENSP00000457844.1; ENSG00000182149.21. [P53990-4]"";""ENST00000606369.5; ENSP00000475853.1; ENSG00000182149.21. [P53990-6]"";",cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; MIT domain binding [GO:0090541]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877],abscission [GO:0009838]; cell division [GO:0051301]; collateral sprouting [GO:0048668]; cytoskeleton-dependent cytokinesis [GO:0061640]; ESCRT III complex disassembly [GO:1904903]; establishment of protein localization [GO:0045184]; multivesicular body assembly [GO:0036258]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of proteolysis [GO:0045862]; protein localization [GO:0008104]; protein transport [GO:0015031]; viral capsid secondary envelopment [GO:0046745]; viral release from host cell [GO:0019076],azurophil granule lumen [GO:0035578]; centrosome [GO:0005813]; chromatin [GO:0000785]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Flemming body [GO:0090543]; intracellular membrane-bounded organelle [GO:0043231]; midbody [GO:0030496]; nuclear envelope [GO:0005635]
Q8TB96,S1,-1.1459726,-1.549644838,0.085174272,0.661754336,1.013984674,gold,ITFG1,TIP_HUMAN,T-cell immunomodulatory protein (Protein TIP) (Integrin-alpha FG-GAP repeat-containing protein 1) (Linkin),ITFG1 LNKN-1 TIP CDA08,81533;,ENST00000320640.11; ENSP00000319918.6; ENSG00000129636.13.;,0,0,extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]
