From	Entry	Reviewed	Entry Name	Protein names	Gene Names	GeneID	Ensembl	Gene Ontology (molecular function)	Gene Ontology (biological process)	Gene Ontology (cellular component)
P06576	P06576	reviewed	ATPB_HUMAN	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B ATPMB ATPSB	506;	ENST00000262030.8;	angiostatin binding [GO:0043532]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; MHC class I protein binding [GO:0042288]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	angiogenesis [GO:0001525]; ATP biosynthetic process [GO:0006754]; cellular response to interleukin-7 [GO:0098761]; generation of precursor metabolites and energy [GO:0006091]; lipid metabolic process [GO:0006629]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; osteoblast differentiation [GO:0001649]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
P06748	P06748	reviewed	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	4869;	ENST00000296930.10 [P06748-1];ENST00000351986.10 [P06748-2];ENST00000393820.2 [P06748-3];ENST00000517671.5 [P06748-1];ENST00000678280.1 [P06748-3];	chromatin binding [GO:0003682]; core promoter sequence-specific DNA binding [GO:0001046]; DNA-binding transcription factor binding [GO:0140297]; histone binding [GO:0042393]; NF-kappaB binding [GO:0051059]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; ribosomal large subunit binding [GO:0043023]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; Tat protein binding [GO:0030957]; transcription coactivator activity [GO:0003713]; unfolded protein binding [GO:0051082]	cellular response to UV [GO:0034644]; cellular senescence [GO:0090398]; centrosome cycle [GO:0007098]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; intracellular protein transport [GO:0006886]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; nucleocytoplasmic transport [GO:0006913]; nucleosome assembly [GO:0006334]; positive regulation of cell cycle G2/M phase transition [GO:1902751]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; protein localization [GO:0008104]; regulation of centriole replication [GO:0046599]; regulation of centrosome duplication [GO:0010824]; regulation of eIF2 alpha phosphorylation by dsRNA [GO:0060735]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of endoribonuclease activity [GO:0060699]; regulation of mRNA stability involved in cellular response to UV [GO:1902629]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit biogenesis [GO:0042274]; ribosomal small subunit export from nucleus [GO:0000056]; ribosome assembly [GO:0042255]; signal transduction [GO:0007165]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; granular component [GO:0001652]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; spindle pole centrosome [GO:0031616]
P07199	P07199	reviewed	CENPB_HUMAN	Major centromere autoantigen B (Centromere protein B) (CENP-B)	CENPB	1059;	ENST00000379751.5;	centromeric DNA binding [GO:0019237]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; satellite DNA binding [GO:0003696]; sequence-specific DNA binding [GO:0043565]		chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]
P07355	P07355	reviewed	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	302;	ENST00000332680.8 [P07355-2];ENST00000396024.7 [P07355-1];ENST00000421017.6 [P07355-1];ENST00000451270.7 [P07355-1];ENST00000557906.6 [P07355-1];ENST00000558558.6 [P07355-1];ENST00000559818.6 [P07355-1];ENST00000559956.6 [P07355-1];ENST00000560468.6 [P07355-1];ENST00000677968.1 [P07355-1];ENST00000678061.1 [P07355-1];ENST00000678450.1 [P07355-1];ENST00000678870.1 [P07355-1];ENST00000679109.1 [P07355-1];	cadherin binding involved in cell-cell adhesion [GO:0098641]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; phospholipase A2 inhibitor activity [GO:0019834]; protease binding [GO:0002020]; RNA binding [GO:0003723]; S100 protein binding [GO:0044548]; serine-type endopeptidase inhibitor activity [GO:0004867]	angiogenesis [GO:0001525]; cell-matrix adhesion [GO:0007160]; collagen fibril organization [GO:0030199]; epithelial cell apoptotic process [GO:1904019]; fibrinolysis [GO:0042730]; lung development [GO:0030324]; membrane raft assembly [GO:0001765]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of low-density lipoprotein particle receptor catabolic process [GO:0032804]; negative regulation of receptor internalization [GO:0002091]; osteoclast development [GO:0036035]; positive regulation of exocytosis [GO:0045921]; positive regulation of low-density lipoprotein particle clearance [GO:1905581]; positive regulation of low-density lipoprotein particle receptor binding [GO:1905597]; positive regulation of low-density lipoprotein receptor activity [GO:1905599]; positive regulation of plasma membrane repair [GO:1905686]; positive regulation of plasminogen activation [GO:0010756]; positive regulation of receptor recycling [GO:0001921]; positive regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905602]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vacuole organization [GO:0044090]; positive regulation of vesicle fusion [GO:0031340]; regulation of neurogenesis [GO:0050767]; response to activity [GO:0014823]; vesicle budding from membrane [GO:0006900]	adherens junction [GO:0005912]; AnxA2-p11 complex [GO:1990665]; azurophil granule lumen [GO:0035578]; basement membrane [GO:0005604]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; late endosome membrane [GO:0031902]; lipid droplet [GO:0005811]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; myelin sheath adaxonal region [GO:0035749]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; PCSK9-AnxA2 complex [GO:1990667]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; RNA polymerase II transcription regulator complex [GO:0090575]; sarcolemma [GO:0042383]; Schmidt-Lanterman incisure [GO:0043220]; vesicle [GO:0031982]; vesicle membrane [GO:0012506]
P07437	P07437	reviewed	TBB5_HUMAN	Tubulin beta chain (Tubulin beta-5 chain)	TUBB TUBB5 OK/SW-cl.56	203068;	ENST00000327892.13;ENST00000383564.8;ENST00000419792.6;ENST00000421473.6;ENST00000422650.6;ENST00000422674.6;ENST00000432462.6;ENST00000436628.6;	GTP binding [GO:0005525]; GTPase activating protein binding [GO:0032794]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; MHC class I protein binding [GO:0042288]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; ubiquitin protein ligase binding [GO:0031625]	cell division [GO:0051301]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; natural killer cell mediated cytotoxicity [GO:0042267]; odontoblast differentiation [GO:0071895]; regulation of synapse organization [GO:0050807]; spindle assembly [GO:0051225]	azurophil granule lumen [GO:0035578]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; intercellular bridge [GO:0045171]; membrane raft [GO:0045121]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; nuclear envelope lumen [GO:0005641]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
P07910	P07910	reviewed	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	3183;	ENST00000420743.6 [P07910-1];ENST00000430246.6 [P07910-2];ENST00000553300.6 [P07910-2];ENST00000554455.5 [P07910-1];ENST00000554969.5 [P07910-2];ENST00000555883.5 [P07910-4];ENST00000556628.5 [P07910-3];ENST00000556897.5 [P07910-2];ENST00000557201.5 [P07910-1];	identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA reader activity [GO:1990247]; nucleosomal DNA binding [GO:0031492]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]	3'-UTR-mediated mRNA stabilization [GO:0070935]; chromatin remodeling [GO:0006338]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA splicing [GO:0008380]	actin cytoskeleton [GO:0015629]; catalytic step 2 spliceosome [GO:0071013]; chromatin [GO:0000785]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; spliceosomal complex [GO:0005681]; telomerase holoenzyme complex [GO:0005697]
P08238	P08238	reviewed	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84) (Heat shock protein family C member 3)	HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB	3326;	ENST00000353801.7;ENST00000371554.2;ENST00000371646.10;ENST00000620073.4;	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein binding [GO:0043008]; ATP-dependent protein folding chaperone [GO:0140662]; cadherin binding [GO:0045296]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; double-stranded RNA binding [GO:0003725]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; histone methyltransferase binding [GO:1990226]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; peptide binding [GO:0042277]; protein dimerization activity [GO:0046983]; protein folding chaperone [GO:0044183]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; receptor ligand inhibitor activity [GO:0141069]; RNA binding [GO:0003723]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]	cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; chaperone-mediated protein complex assembly [GO:0051131]; chaperone-mediated protein folding [GO:0061077]; negative regulation of apoptotic process [GO:0043066]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; placenta development [GO:0001890]; positive regulation of cell differentiation [GO:0045597]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of protein localization [GO:0032880]; regulation of protein ubiquitination [GO:0031396]; response to unfolded protein [GO:0006986]; supramolecular fiber organization [GO:0097435]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; virion attachment to host cell [GO:0019062]	aryl hydrocarbon receptor complex [GO:0034751]; axonal growth cone [GO:0044295]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; dynein axonemal particle [GO:0120293]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; HSP90-CDC37 chaperone complex [GO:1990565]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein folding chaperone complex [GO:0101031]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]
P08621	P08621	reviewed	RU17_HUMAN	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	6625;	ENST00000221448.9 [P08621-2];ENST00000401730.5 [P08621-3];ENST00000595231.5 [P08621-3];ENST00000598441.6 [P08621-1];ENST00000601065.5 [P08621-3];	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; U1 snRNA binding [GO:0030619]	mRNA splicing, via spliceosome [GO:0000398]; negative regulation of chaperone-mediated autophagy [GO:1904715]; negative regulation of protein refolding [GO:0061084]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; regulation of ATP-dependent activity [GO:0043462]; regulation of RNA splicing [GO:0043484]	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P08670	P08670	reviewed	VIME_HUMAN	Vimentin	VIM	7431;	ENST00000224237.9;ENST00000544301.7;	double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; keratin filament binding [GO:1990254]; molecular adaptor activity [GO:0060090]; protein domain specific binding [GO:0019904]; scaffold protein binding [GO:0097110]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of eye lens [GO:0005212]	astrocyte development [GO:0014002]; Bergmann glial cell differentiation [GO:0060020]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to type II interferon [GO:0071346]; intermediate filament organization [GO:0045109]; lens fiber cell development [GO:0070307]; negative regulation of neuron projection development [GO:0010977]; neuron projection development [GO:0031175]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of gene expression [GO:0010628]; regulation of mRNA stability [GO:0043488]	axon [GO:0030424]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; microtubule organizing center [GO:0005815]; nuclear matrix [GO:0016363]; peroxisome [GO:0005777]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]
P08708	P08708	reviewed	RS17_HUMAN	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	RPS17 RPS17L	6218;	ENST00000617731.2;ENST00000647841.1;	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytoplasmic translation [GO:0002181]; erythrocyte homeostasis [GO:0034101]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]; translational initiation [GO:0006413]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]
P08865	P08865	reviewed	RSSA_HUMAN	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4)	RPSA LAMBR LAMR1	3921;	ENST00000301821.11;ENST00000458478.6;ENST00000697729.1;ENST00000697730.1;ENST00000697731.1;	DNA binding [GO:0003677]; laminin binding [GO:0043236]; laminin receptor activity [GO:0005055]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; virus receptor activity [GO:0001618]	antiviral innate immune response [GO:0140374]; cytoplasmic translation [GO:0002181]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P09012	P09012	reviewed	SNRPA_HUMAN	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)	SNRPA	6626;	ENST00000243563.8;	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; U1 snRNA binding [GO:0030619]; U1 snRNP binding [GO:1990446]	mRNA splicing, via spliceosome [GO:0000398]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
P09132	P09132	reviewed	SRP19_HUMAN	Signal recognition particle 19 kDa protein (SRP19)	SRP19	6728;	ENST00000282999.7 [P09132-2];ENST00000505459.6 [P09132-1];ENST00000515463.1 [P09132-3];	7S RNA binding [GO:0008312]; RNA binding [GO:0003723]	cotranslational protein targeting to membrane [GO:0006613]; SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition [GO:0006617]	cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; signal recognition particle [GO:0048500]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]
P09234	P09234	reviewed	RU1C_HUMAN	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC	6631;	ENST00000244520.10;	mRNA binding [GO:0003729]; pre-mRNA 5'-splice site binding [GO:0030627]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]	mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]	Cajal body [GO:0015030]; commitment complex [GO:0000243]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P09651	P09651	reviewed	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	HNRNPA1 HNRPA1	3178;	ENST00000340913.11 [P09651-1];ENST00000546500.5 [P09651-2];ENST00000547276.5 [P09651-3];ENST00000547566.5 [P09651-2];ENST00000550482.2 [P09651-2];ENST00000677210.1 [P09651-1];	DNA binding [GO:0003677]; G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; telomeric repeat-containing RNA binding [GO:0061752]	cellular response to glucose starvation [GO:0042149]; cellular response to sodium arsenite [GO:1903936]; import into nucleus [GO:0051170]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear export [GO:0051168]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA export from nucleus [GO:0006405]	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
P09661	P09661	reviewed	RU2A_HUMAN	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	SNRPA1	6627;	ENST00000254193.11;	RNA binding [GO:0003723]; U2 snRNA binding [GO:0030620]	mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283]; U2-type prespliceosome assembly [GO:1903241]	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small nuclear ribonucleoprotein complex [GO:0030532]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]
P09874	P09874	reviewed	PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]	PARP1 ADPRT PPOL	142;	ENST00000366794.10;	chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; NAD DNA ADP-ribosyltransferase activity [GO:0140294]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+- protein-aspartate ADP-ribosyltransferase activity [GO:0140806]; NAD+-histone H2BE35 glutamate ADP-ribosyltransferase activity [GO:0140822]; NAD+-histone H2BS6 serine ADP-ribosyltransferase activity [GO:0140816]; NAD+-histone H3S10 serine ADP-ribosyltransferase activity [GO:0140817]; NAD+-protein ADP-ribosyltransferase activity [GO:1990404]; NAD+-protein-glutamate ADP-ribosyltransferase activity [GO:0140807]; NAD+-protein-histidine ADP-ribosyltransferase activity [GO:0140815]; NAD+-protein-serine ADP-ribosyltransferase activity [GO:0140805]; NAD+-protein-tyrosine ADP-ribosyltransferase activity [GO:0140808]; nuclear estrogen receptor binding [GO:0030331]; nucleosome binding [GO:0031491]; nucleotidyltransferase activity [GO:0016779]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; R-SMAD binding [GO:0070412]; RNA binding [GO:0003723]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription regulator activator activity [GO:0140537]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]	apoptotic process [GO:0006915]; ATP generation from poly-ADP-D-ribose [GO:1990966]; carbohydrate biosynthetic process [GO:0016051]; cellular response to amyloid-beta [GO:1904646]; cellular response to insulin stimulus [GO:0032869]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to oxidative stress [GO:0034599]; cellular response to UV [GO:0034644]; cellular response to zinc ion [GO:0071294]; decidualization [GO:0046697]; DNA ADP-ribosylation [GO:0030592]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; innate immune response [GO:0045087]; macrophage differentiation [GO:0030225]; mitochondrial DNA metabolic process [GO:0032042]; mitochondrial DNA repair [GO:0043504]; mitochondrion organization [GO:0007005]; negative regulation of adipose tissue development [GO:1904178]; negative regulation of ATP biosynthetic process [GO:2001170]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of innate immune response [GO:0045824]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of myofibroblast differentiation [GO:1904762]; positive regulation of necroptotic process [GO:0060545]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of single strand break repair [GO:1903518]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein auto-ADP-ribosylation [GO:0070213]; protein autoprocessing [GO:0016540]; protein localization to chromatin [GO:0071168]; protein modification process [GO:0036211]; protein poly-ADP-ribosylation [GO:0070212]; regulation of base-excision repair [GO:1905051]; regulation of catalytic activity [GO:0050790]; regulation of circadian sleep/wake cycle, non-REM sleep [GO:0045188]; regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903376]; regulation of protein localization [GO:0032880]; replication fork reversal [GO:0071932]; response to aldosterone [GO:1904044]; response to gamma radiation [GO:0010332]; signal transduction involved in regulation of gene expression [GO:0023019]; telomere maintenance [GO:0000723]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]	chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nuclear body [GO:0016604]; nuclear envelope [GO:0005635]; nuclear replication fork [GO:0043596]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; site of DNA damage [GO:0090734]; site of double-strand break [GO:0035861]; transcription regulator complex [GO:0005667]
